Market Code,Supplier,Supplier Depot,Price List ID, Price List Name,SKU,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,Price,Units per Case, Converted To,Unit Price, Purchaser Units Attached
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","BK83",1719920,"Non Food","Paper & Consumables","Disposables","Paper Plates : White : 6",,,,"1000 x 1 each",1000.0000,1,"1.000","each",,23%,"12.53","1000.0000000","each","0.0125","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","BRS51",1715318,"Non Food","Paper & Consumables","Disposables","Refuse Sacks : Black : 26 x 44",,,,"8x25each",8.0000,25,"1.000","each",,23%,"15.00","200.0000000","each","0.075","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","HXY520W",1713426,"Non Food","Accessories","Janitorial","Optima Socket Mop : Hygiene : RHP : White : 200g",,"Optima",,"1x1each",1.0000,1,"1.000","each",,23%,"2.40","1.0000000","each","2.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","EAH135W",1713420,"Non Food","Accessories","Janitorial","Hygienic Handle : White : 1360mm",,,,"1x1each",1.0000,1,"1.000","each",,23%,"3.58","1.0000000","each","3.58","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","HXY520G",1713415,"Non Food","Accessories","Janitorial","Optima Socket Mop : Hygiene : RHP : Green : 200g",,"Optima",,"1x1each",1.0000,1,"1.000","each",,23%,"2.40","1.0000000","each","2.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","HXY520B",1713413,"Non Food","Accessories","Janitorial","Optima Socket Mop : Hygiene : RHP : Blue : 200g",,"Optima",,"1x1each",1.0000,1,"1.000","each",,23%,"2.40","1.0000000","each","2.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","100985879",1707617,"Non Food","Chemicals","Cleaning Chemicals","Soft Care Soap : Foam : Plus H42",,"Soft Care",,"6x700ml",6.0000,1,"700.000","ml",,23%,"40.13","4.2000000","ltr","9.5548","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","JELMETH3",1692379,"[PW] PAC","Non Food","Paper & Consumables","Preema 3 Hour Methanol Chafing Fuel X 200g",,,,"72 x 1 each",1.0000,72,"1.000","each",,23%,"48.70","72.0000000","each","0.6764","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","100349",1692298,"[PW] PAC","Non Food","Paper & Consumables","Shot Glasses 2cl Disp 30x40 (2CL TO LINE 3CL TO RIM",,,,"30 x 40 x 1 each",30.0000,40,"1.000","each",,23%,"28.90","1200.0000000","each","0.0241","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","170103",1682220,"Non Food","Office Supplies","Stationery","Duracell Plus C Power C 4 Pack : 294g",,"Duracell",,"1x1each",1.0000,1,"1.000","each",,23%,"30.00","1.0000000","each","30","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","TRAY29142",1675022,"Food","Bakery","Morning Goods / Viennoiserie","Croissant : Plain",,,,"320x1each",320.0000,1,"1.000","each",,9%,"11.00","320.0000000","each","0.0344","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","DB10",1674721,"[PW] PAC","Non Food","Paper & Consumables","Leaf Ware 12oz Printed DW Cup Xmas",,,,"20 x 25 x 1 each",20.0000,25,"1.000","each",,23%,"38.70","500.0000000","each","0.0774","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","LEAF20LIDS",1672709,"[PW] PAC","Food","Food Other","LEAF 12OZ Kraft lids",,,,"500 x 12 oz",500.0000,1,"12.000","oz",,23%,"34.17","6000.0000000","oz","0.0057","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","LEAF20POTS",1672708,"[PW] PAC","Food","Food Other","12oz Brown Kraft Soup Cup",,,,"20 x 25 x 12 oz",20.0000,25,"12.000","oz",,23%,"35.32","6000.0000000","oz","0.0059","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","C109",1646012,"Non Food","Accessories","Janitorial","Kentucky Mop : Metal : Spring Clip",,"Kentucky",,"1x1each",1.0000,1,"1.000","each",,23%,"1.32","1.0000000","each","1.32","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","9086250",1643980,"Non Food","Chemicals","Cleaning Chemicals","Epicare Hand wash/Lotion : 5c",,"Epicare",,"6x500ml",1.0000,6,"500.000","ml",,23%,"52.67","3.0000000","ltr","17.5567","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","509600",1642304,"Non Food","Paper & Consumables","Disposables","Tork Cutlery Bag : Linstyle : Black",,"Tork",,"1x600each",1.0000,1,"600.000","each",,23%,"70.00","600.0000000","each","0.1167","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","RET0346",1631827,"[PW] PAC","Non Food","Paper & Consumables","Large nested box 225/258x95/127x56mm",,,,"200 x 1 each",200.0000,1,"1.000","each",,23%,"32.00","200.0000000","each","0.16","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","LEAF138HSC",1623279,"[PW] PAC","Non Food","Paper & Consumables","12OZ LEAF DESIGN DOUBLE WALL CUPS",,,,"1  x 500 x 1 each",1.0000,500,"1.000","each",,23%,"38.70","500.0000000","each","0.0774","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","100839611",1547708,"Non Food","Chemicals","Cleaning Chemicals","Kitchen Degreaser : Multi Purpose : Optimax Extra",,,,"6x750ml",6.0000,1,"750.000","ml",,23%,"15.69","4.5000000","ltr","3.4867","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","D411",1533355,"[PW] PAC","Non Food","Kitchenware","Foil Catering 450Mm 06 Rolls/Box",,,,"6x1each",6.0000,1,"1.000","each",,23%,"33.00","6.0000000","each","5.5","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","2431",1526016,"Non Food","Chemicals","Cleaning Chemicals","Bottles : Multi : El 10 Screen Printed",,,,"6x1each",6.0000,1,"1.000","each",,23%,"13.73","6.0000000","each","2.2883","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","HXY520R",1510873,"[PW] PAC","Non Food","Janitorial","Optima Hygiene 'RHP' Socket Mop - RED200g",,,,"1 each",1.0000,1,"1.000","each",,23%,"2.40","1.0000000","each","2.4","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","509603",1474762,"Non Food","Paper & Consumables","Disposables","Tork Cutlery Bag : Linstyle : Champagne",,"Tork",,"1x300each",1.0000,1,"300.000","each",,23%,"79.80","300.0000000","each","0.266","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","OLPFCGEX",1470994,"Non Food","Paper & Consumables","Janitorial","Olympia Gloves : Vinyl : Powder Free : Clear : Ex Large",,"Olympia",,"1x1000each",1.0000,1,"1000.000","each",,23%,"69.33","1000.0000000","each","0.0693","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","5020815",1469141,"Non Food","Paper & Consumables","Janitorial","Tork Toilet Roll : Coreless : Compact : White : 2 Ply 900 Sheets",,"Tork",,"1x36each",1.0000,1,"36.000","each",,23%,"44.40","36.0000000","each","1.2333","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","FF5",1461777,"Non Food","Paper & Consumables","Disposables","Snack Box : Small : 143x83x60mm",,,,"1x500each",1.0000,1,"500.000","each",,23%,"29.93","500.0000000","each","0.0599","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","509602",1460903,"Non Food","Paper & Consumables","Disposables","Tork Cutlery Bag : Linstyle : Burgundy",,"Tork",,"1x300each",1.0000,1,"300.000","each",,23%,"79.80","300.0000000","each","0.266","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","80R32A-1",1455518,"Non Food","Medical Supplies","First Aid","First Aid : Burns Kit : Inner",,,,"1x1each",1.0000,1,"1.000","each",,23%,"10.00","1.0000000","each","10","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","562000",1455337,"Non Food","Accessories","Janitorial","Tork Dispenser : Air Freshener",,"Tork",,"1x1each",1.0000,1,"1.000","each",,23%,"0.00","1.0000000","each","0","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","RET0344",1455234,"Non Food","Paper & Consumables","Disposables","Box : Nested : Small : 116.5 / 160x75 / 113.5x60mm",,,,"1x300each",1.0000,1,"300.000","each",,23%,"29.33","300.0000000","each","0.0978","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","290068",1449755,"Non Food","Paper & Consumables","Disposables","Tork Hand Towel : 2 Ply : Matic Advanced : Blue : 150m",,"Tork",,"1x6each",1.0000,1,"6.000","each",,23%,"105.03","6.0000000","each","17.505","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","236050",1444263,"Non Food","Chemicals","Cleaning Chemicals","Tork Air Freshener : Refill : A1 : Citrus",,"Tork",,"12x75ml",12.0000,1,"75.000","ml",,23%,"97.65","0.9000000","ltr","108.5","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","15840",1443173,"Non Food","Paper & Consumables","Disposables","Tork Napkin : Extra Soft : For Dispenser : Xpressnap : White : 21.3x33cm 2Ply",,"Tork",,"1x4000each",1.0000,1,"4000.000","each",,23%,"49.80","4000.0000000","each","0.0125","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","552500",1443162,"Non Food","Accessories","Janitorial","Tork Dispenser : Hand Towel : Peakserve : Continuous",,"Tork",,"1x1each",1.0000,1,"1.000","each",,23%,"169.80","1.0000000","each","169.8","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","272511",1443161,"Non Food","Accessories","Janitorial","Tork Dispenser : Napkins : Counter : Xpressnap : Black",,"Tork",,"1x1each",1.0000,1,"1.000","each",,23%,"63.60","1.0000000","each","63.6","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","MP1",1439481,"Non Food","Paper & Consumables","Disposables","Bag : Foil Lined : White : 175x230x175mm : (Bqp)",,,,"1x500each",1.0000,1,"500.000","each",,23%,"13.67","500.0000000","each","0.0273","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
,"Zeus Russell Will (Zeus Packaging Ltd)",,"64771","Greyhound Racing Ireland Group Price List","EAH135Y",1436545,"Non Food","Accessories","Janitorial","Handle : Hygenic : Yellow : 1360mm",,,,"1x1each",1.0000,1,"1.000","each",,23%,"3.59","1.0000000","each","3.59","Shelbourne Park Greyhound Stadium, Newbridge Greyhound Stadium, Mullingar Greyhound Stadium, Limerick Greyhound Stadium, Kingdom Greyhound Stadium, Kilcohan Park Greyhound Stadium, Galway Greyhound Stadium, Curraheen Park Greyhound Stadium, ",
