Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Roast Breast of Chicken DUB","Food","Shelbourne Park Dublin","Bistro Menu","Main Course",0,2.61,3.58,0.97,85.4%,80.0%,5.4%,19.50,14.22,5.28,15.28,14.31,0.97,
"Roast Crispy Pork Belly DUB","Food","Shelbourne Park Dublin","Bistro Menu","Main Course",0,2.09,4.21,2.12,90.1%,80.0%,10.1%,22.95,11.39,11.56,18.97,16.84,2.12,
"Soup Portion DUB","Food","Shelbourne Park Dublin","Bistro Menu","Starter",0,0.73,0.69,-0.04,89.4%,90.0%,-0.6%,7.50,7.96,-0.46,6.15,6.19,-0.04,
"Hot & Spacy Chicken Wings DUB","Food","Shelbourne Park Dublin","Bistro Menu","Starter",0,2.17,2.41,0.24,77.5%,75.0%,2.5%,10.50,9.46,1.04,7.46,7.22,0.24,
"Roast Breast of Chicken DUB","Food","Shelbourne Park Dublin","Summer 2 Course Menu","Main Course",0,2.61,3.58,0.97,85.4%,80.0%,5.4%,19.50,14.22,5.28,15.28,14.31,0.97,
"Roast Crispy Pork Belly DUB","Food","Shelbourne Park Dublin","Summer 2 Course Menu","Main Course",0,2.09,4.21,2.12,90.1%,80.0%,10.1%,22.95,11.39,11.56,18.97,16.84,2.12,
"Roast Breast of Chicken DUB","Food","Shelbourne Park Dublin","Summer 3 Course Menu","Main Course",0,2.61,3.58,0.97,85.4%,80.0%,5.4%,19.50,14.22,5.28,15.28,14.31,0.97,
"Roast Crispy Pork Belly DUB","Food","Shelbourne Park Dublin","Summer 3 Course Menu","Main Course",0,2.09,4.21,2.12,90.1%,80.0%,10.1%,22.95,11.39,11.56,18.97,16.84,2.12,
"Soup Portion DUB","Food","Shelbourne Park Dublin","Summer 3 Course Menu","Starter",0,0.73,0.69,-0.04,89.4%,90.0%,-0.6%,7.50,7.96,-0.46,6.15,6.19,-0.04,
"Hot & Spacy Chicken Wings DUB","Food","Shelbourne Park Dublin","Summer 3 Course Menu","Starter",0,2.17,1.95,-0.22,72.2%,75.0%,-2.8%,8.50,9.46,-0.96,5.63,5.85,-0.22,
"Slow Braised Blade of Angus Beef DUB","Food","Shelbourne Park Dublin","2 Course Menu €40","Main Course",0,3.29,3.94,0.65,83.3%,80.0%,3.3%,21.50,17.93,3.57,16.43,15.78,0.65,
"Roast Breast of Chicken DUB","Food","Shelbourne Park Dublin","2 Course Menu €40","Main Course",0,2.61,3.58,0.97,85.4%,80.0%,5.4%,19.50,14.22,5.28,15.28,14.31,0.97,
"Roast Crispy Pork Belly DUB","Food","Shelbourne Park Dublin","2 Course Menu €40","Main Course",0,2.09,21.06,18.97,90.1%,0.0%,90.1%,22.95,2.28,20.67,18.97,0.00,18.97,
"Slow Braised Blade of Angus Beef DUB","Food","Shelbourne Park Dublin","3 Course Menu €45","Main Course",0,3.29,3.94,0.65,83.3%,80.0%,3.3%,21.50,17.93,3.57,16.43,15.78,0.65,
