Market Code,PID,Product Category 1,Product Category 2,Product Category 3,Product Description,Brand,Pack Size,Measure,[SM] Musgrave SKU,[SM] Musgrave Best Price List,[SM] Musgrave In Stock,[SM] Musgrave Best Price,[SM] Musgrave Units per Case,[SM] Musgrave Converted To,[SM] Musgrave Unit Price,Heineken Ireland Sales Ltd SKU,Heineken Ireland Sales Ltd Best Price List,Heineken Ireland Sales Ltd In Stock,Heineken Ireland Sales Ltd Best Price,Heineken Ireland Sales Ltd Units per Case,Heineken Ireland Sales Ltd Converted To,Heineken Ireland Sales Ltd Unit Price,Lynas Foodservice Ltd SKU,Lynas Foodservice Ltd Best Price List,Lynas Foodservice Ltd In Stock,Lynas Foodservice Ltd Best Price,Lynas Foodservice Ltd Units per Case,Lynas Foodservice Ltd Converted To,Lynas Foodservice Ltd Unit Price,Robert Roberts/ Findlater & Co SKU,Robert Roberts/ Findlater & Co Best Price List,Robert Roberts/ Findlater & Co In Stock,Robert Roberts/ Findlater & Co Best Price,Robert Roberts/ Findlater & Co Units per Case,Robert Roberts/ Findlater & Co Converted To,Robert Roberts/ Findlater & Co Unit Price,Sysco Ireland SKU,Sysco Ireland Best Price List,Sysco Ireland In Stock,Sysco Ireland Best Price,Sysco Ireland Units per Case,Sysco Ireland Converted To,Sysco Ireland Unit Price,Zeus Russell Will (Zeus Packaging Ltd) SKU,Zeus Russell Will (Zeus Packaging Ltd) Best Price List,Zeus Russell Will (Zeus Packaging Ltd) In Stock,Zeus Russell Will (Zeus Packaging Ltd) Best Price,Zeus Russell Will (Zeus Packaging Ltd) Units per Case,Zeus Russell Will (Zeus Packaging Ltd) Converted To,Zeus Russell Will (Zeus Packaging Ltd) Unit Price
,1623279,[PW] PAC,Non Food,Paper & Consumables,12OZ LEAF DESIGN DOUBLE WALL CUPS,,1  x 500 x 1 each,each,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,LEAF138HSC,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0
,1631827,[PW] PAC,Non Food,Paper & Consumables,Large nested box 225/258x95/127x56mm,,200 x 1 each,each,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0,RET0346,Greyhound Racing Ireland Group Price List,Yes,0,200.0000000,each,0
,1520043,[PW] PAC,Non Food,Paper & Consumables,Lavazza 8oz Recyable Cup,,500 each,each,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0,803415,Greyhound Racing Ireland Group Price List,Yes,0,500.0000000,each,0
,1674721,[PW] PAC,Non Food,Paper & Consumables,Leaf Ware 12oz Printed DW Cup Xmas,,20 x 25 x 1 each,each,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0,DB10,Greyhound Racing Ireland Group Price List,No,0,500.0000000,each,0
,982500,[PW] PAC,Non Food,Paper & Consumables,Portion clear cups 4oz : Olympia,,1x2500each,each,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0,OL4OZC,Greyhound Racing Ireland Group Price List,Yes,0,2500.0000000,each,0
,1692379,[PW] PAC,Non Food,Paper & Consumables,Preema 3 Hour Methanol Chafing Fuel X 200g,,72 x 1 each,each,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0,JELMETH3,Greyhound Racing Ireland Group Price List,Yes,0,72.0000000,each,0
,1692298,[PW] PAC,Non Food,Paper & Consumables,Shot Glasses 2cl Disp 30x40 (2CL TO LINE 3CL TO RIM,,30 x 40 x 1 each,each,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0,100349,Greyhound Racing Ireland Group Price List,Yes,0,1200.0000000,each,0
,1024655,[PW] PAC,Non Food,Paper & Consumables,White Greaseproof Chip Bag 5x6,,1x1000each,each,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0,KS28,Greyhound Racing Ireland Group Price List,Yes,0,1000.0000000,each,0
,1444332,[PW] PAC,Non Food,Catering Equipment,Ecobrite Destainer 1x24x875 GM,,24x875G,g,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0
,1479781,[PW] PAC,Non Food,Catering Equipment,Triplex Energy Plus 1x20 KG,,1x20 KG,kg,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0
,1510873,[PW] PAC,Non Food,Janitorial,Optima Hygiene 'RHP' Socket Mop - RED200g,,1 each,each,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,HXY520R,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0
,1428647,[PW] PAC,Non Food,Cleaning Chemicals,Absorbit - Heavy Duty Powder Detergent And Degreaser,,6x2.2kg,kg,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0,9024210,Greyhound Racing Ireland Group Price List,Yes,0,13.2000000,kg,0
