Market Code,PID,Product Category 1,Product Category 2,Product Category 3,Product Description,Brand,Pack Size,Measure,[SM] Musgrave SKU,[SM] Musgrave Best Price List,[SM] Musgrave In Stock,[SM] Musgrave Best Price,[SM] Musgrave Units per Case,[SM] Musgrave Converted To,[SM] Musgrave Unit Price,Bulmers Ire / Bibendum (Gleeson Group) SKU,Bulmers Ire / Bibendum (Gleeson Group) Best Price List,Bulmers Ire / Bibendum (Gleeson Group) In Stock,Bulmers Ire / Bibendum (Gleeson Group) Best Price,Bulmers Ire / Bibendum (Gleeson Group) Units per Case,Bulmers Ire / Bibendum (Gleeson Group) Converted To,Bulmers Ire / Bibendum (Gleeson Group) Unit Price,Comans Beverages Ltd SKU,Comans Beverages Ltd Best Price List,Comans Beverages Ltd In Stock,Comans Beverages Ltd Best Price,Comans Beverages Ltd Units per Case,Comans Beverages Ltd Converted To,Comans Beverages Ltd Unit Price,Diageo Ireland SKU,Diageo Ireland Best Price List,Diageo Ireland In Stock,Diageo Ireland Best Price,Diageo Ireland Units per Case,Diageo Ireland Converted To,Diageo Ireland Unit Price,Findlater Wine & Spirit Group SKU,Findlater Wine & Spirit Group Best Price List,Findlater Wine & Spirit Group In Stock,Findlater Wine & Spirit Group Best Price,Findlater Wine & Spirit Group Units per Case,Findlater Wine & Spirit Group Converted To,Findlater Wine & Spirit Group Unit Price,Heineken Ireland Sales Ltd SKU,Heineken Ireland Sales Ltd Best Price List,Heineken Ireland Sales Ltd In Stock,Heineken Ireland Sales Ltd Best Price,Heineken Ireland Sales Ltd Units per Case,Heineken Ireland Sales Ltd Converted To,Heineken Ireland Sales Ltd Unit Price,John J Galvin & Son Ltd SKU,John J Galvin & Son Ltd Best Price List,John J Galvin & Son Ltd In Stock,John J Galvin & Son Ltd Best Price,John J Galvin & Son Ltd Units per Case,John J Galvin & Son Ltd Converted To,John J Galvin & Son Ltd Unit Price,Sysco Ireland SKU,Sysco Ireland Best Price List,Sysco Ireland In Stock,Sysco Ireland Best Price,Sysco Ireland Units per Case,Sysco Ireland Converted To,Sysco Ireland Unit Price
,694106,[PW] PAC,Food,Food Other,Ecobrite Super Silex 20kg (CHEMICAL),,1 x 20kg,kg,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,E10104,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0
,1653651,[PW] PAC,Drinks,Water,Ishka still water 500ML,,24 x 500 ml,ml,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,11637,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0
,1640606,[PW] PAC,Drinks,Water,RIVER ROCK SPARK  330ML N/R,,24 x 330 ml,ml,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0,11520,Greyhound Racing Ireland Group Price List,No,0,7.9200000,ltr,0
,1444332,[PW] PAC,Non Food,Catering Equipment,Ecobrite Destainer 1x24x875 GM,,24x875G,g,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0,492160,ECOLAB Irish Greyhound Board,Yes,0,21.0000000,kg,0
,1479781,[PW] PAC,Non Food,Catering Equipment,Triplex Energy Plus 1x20 KG,,1x20 KG,kg,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,20.0000000,kg,0
,1067203,[PW] PAC,Non Food,Cleaning Chemicals,Ecobrite Booster Plus,,25 kg,kg,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0,496043,ECOLAB Irish Greyhound Board,Yes,0,25.0000000,kg,0
,1170566,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Ecobrite Oxy 1x10 LT,,10 ltr,ltr,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0,,ECOLAB Irish Greyhound Board,Yes,0,10.0000000,ltr,0
,1444617,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Freedrain 4x5 LT,,4x500 LTR,ltr,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0,E10042,ECOLAB Irish Greyhound Board,Yes,0,2000.0000000,ltr,0
,1444620,[PW] PAC,Non Food,Cleaning Chemicals,Ecolab Oasis Pro Acid Bath Cleaner 2x2.48 KG,,2x2.48 KG,kg,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0,,ECOLAB Irish Greyhound Board,Yes,0,4.9600000,kg,0
,632161,[PW] PAC,Non Food,Cleaning Chemicals,Kitchen Pro Manual  2 x 2ltr.Pouch Chemical,,2 x 2 ltr,ltr,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0,e10174,ECOLAB Irish Greyhound Board,Yes,0,4.0000000,ltr,0
