EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
124110,,1,2 course €27.50,2 Course,Desserts,Apple & Rhubarb Crumble GWY,7.50,70,13.5000,52213,
124121,,84,2 course €27.50,2 Course,Desserts,Baileys cheesecake ,7.50,70,13.5000,61552,
124108,,1,2 course €27.50,2 Course,Desserts,Sticky Toffee Pudding GWY,7.50,81.99,13.5000,52164,
124136,,1,2 course €27.50,2 Course,Main Course,"Chicken with Clonakilty Pudding, Whisky Cream",20.00,70,13.5000,61561,
124138,,1,2 course €27.50,2 Course,Main Course,Hake chorizo crust,20.00,70,13.5000,61562,
124140,,1,2 course €27.50,2 Course,Main Course,Steak Pepper sauce,27.00,70,13.5000,61563,
124142,,1,2 course €27.50,2 Course,Main Course,Veg springroll main,20.00,70,13.5000,61564,
124135,,1,2 course €27.50,2 Course,Main Course,Vegetables & potato melange,302.74,70,13.5000,61560,
124111,,1,3 Course €32.50,3 Course €32.50,Dessert,Apple & Rhubarb Crumble GWY,6.25,70,13.5000,52213,
124122,,84,3 Course €32.50,3 Course €32.50,Dessert,Baileys cheesecake ,6.25,70,13.5000,61552,
124109,,1,3 Course €32.50,3 Course €32.50,Dessert,Sticky Toffee Pudding GWY,6.25,78.39,13.5000,52164,
124137,,1,3 Course €32.50,3 Course €32.50,Main course,"Chicken with Clonakilty Pudding, Whisky Cream",20.00,70,13.5000,61561,
124139,,1,3 Course €32.50,3 Course €32.50,Main course,Hake chorizo crust,20.00,70,13.5000,61562,
124141,,1,3 Course €32.50,3 Course €32.50,Main course,Steak Pepper sauce,27.00,70,13.5000,61563,
124143,,1,3 Course €32.50,3 Course €32.50,Main course,Veg springroll main,20.00,70,13.5000,61564,
124130,,50,3 Course €32.50,3 Course €32.50,Starter,Chicken & leek pie sweet potato purée,6.25,70,13.5000,61558,
124127,,50,3 Course €32.50,3 Course €32.50,Starter,Fish cake curry aioli,6.25,70,13.5000,61556,
124126,,50,3 Course €32.50,3 Course €32.50,Starter,Roast root Vegetable soup,6.25,70,13.5000,61554,
124132,,50,3 Course €32.50,3 Course €32.50,Starter,Winter Arancini salad,6.25,70,13.5000,61559,
